gene	SRR1039508	SRR1039509	SRR1039512	SRR1039513	SRR1039516	SRR1039517	SRR1039520	SRR1039521
TSPAN6	679	448	873	408	1138	1047	770	572
TNMD	0	0	0	0	0	0	0	0
DPM1	467	515	621	365	587	799	417	508
SCYL3	260	211	263	164	245	331	233	229
C1orf112	60	55	40	35	78	63	76	60
FGR	0	0	2	0	1	0	0	0
CFH	3251	3679	6177	4252	6721	11027	5176	7995
FUCA2	1433	1062	1733	881	1424	1439	1359	1109
GCLC	519	380	595	493	820	714	696	704
NFYA	394	236	464	175	658	584	360	269
STPG1	172	168	264	118	241	210	155	177
NIPAL3	2112	1867	5137	2657	2735	2751	2467	2905
LAS1L	524	488	638	357	676	806	493	475
ENPP4	71	51	211	156	23	38	134	172
SEMA3F	555	394	905	415	727	697	618	599
CFTR	10	2	9	2	10	6	5	5
ANKIB1	1660	1251	2259	1079	2462	2514	1888	1660
CYP51A1	59	54	66	23	84	87	31	59
KRIT1	729	692	943	475	1034	1163	731	744
RAD52	201	161	256	99	268	257	160	137
MYH16	3	0	3	1	4	0	0	1
BAD	206	174	184	111	194	260	156	177
LAP3	1459	1294	1317	998	1451	1824	853	1031
CD99	7507	7203	9501	6214	10973	12863	6834	7225
HS3ST1	2	0	1	0	0	2	0	0
AOC1	0	0	1	0	0	0	0	0
WNT16	4	6	22	10	2	1	5	3
HECW1	151	139	117	65	90	102	86	119
MAD1L1	411	303	446	195	445	523	295	300
LASP1	6314	6364	7831	5809	6677	11970	5766	7825
SNX11	234	246	298	211	217	376	184	265
TMEM176A	1254	1508	636	431	25	27	70	109
M6PR	1189	947	1266	693	1288	1555	957	899
KLHL13	550	315	557	171	519	284	485	224
CYP26B1	124	57	256	63	30	45	194	68
ICA1	0	0	0	1	1	2	2	0
DBNDD1	81	71	207	80	109	112	156	128
ALS2	769	723	791	540	1115	1509	768	864
CASP10	98	59	133	72	58	49	96	67
CFLAR	1424	2617	1742	2364	2342	5198	1262	3761
TFPI	4373	4183	5794	3230	7344	4981	3452	3342
NDUFAF7	287	280	357	191	386	396	251	248
RBM5	2368	1748	2694	1327	2647	2520	1996	2073
MTMR7	17	25	25	29	20	51	12	27
SLC7A2	47	56	12	3	51	102	18	46
ARF5	1090	1306	1140	817	1334	1986	1028	1347
PLXND1	4077	4260	3651	1649	5387	5992	2718	2809
AK2	1207	1111	1485	767	1497	2274	1017	921
CD38	3	1	0	0	3	1	2	1
FKBP4	502	461	551	281	612	659	400	392
KDM1A	1410	989	1492	727	1708	1614	1263	1035
RBM6	1202	1015	1855	919	1721	1714	1171	1013
CAMKK1	95	55	59	35	87	79	154	67
RECQL	940	1096	1192	766	949	1452	812	1192
CCDC132	492	413	546	337	611	677	435	424
HSPB6	3473	3078	2775	1621	2084	2254	3571	3153
ARHGAP33	131	112	134	56	91	76	111	71
NDUFAB1	329	335	494	258	417	572	294	325
PDK4	81	782	130	1106	235	485	628	3187
SLC22A16	0	0	0	0	0	0	0	0
ZMYND10	12	11	22	8	12	18	17	6
ABCB5	23	3	70	11	8	9	22	5
ARX	0	0	0	0	0	0	0	0
SLC25A13	143	117	131	88	227	284	146	129
ST7	449	259	772	241	527	502	401	296
CDC27	1549	1339	1730	1107	1793	2173	1338	1407
SLC4A1	0	0	0	0	0	0	0	0
CALCR	0	0	0	0	0	0	0	0
HCCS	446	330	531	287	666	604	360	405
DVL2	1366	1002	1069	516	1237	1061	1020	841
PRSS22	0	0	0	0	0	0	0	0
UPF1	2158	2266	2436	1518	2341	3310	1964	2495
SKAP2	833	781	715	556	637	827	769	904
SLC25A5	1340	1059	1323	785	1294	1450	922	974
CCDC109B	215	197	249	177	193	204	211	236
HOXA11	1	0	1	0	1	1	0	0
POLR2J	797	828	1010	529	980	1265	678	682
DHX33	434	445	487	356	522	695	379	628
MEOX1	1	0	0	0	3	0	0	0
THSD7A	9	7	6	8	9	20	12	15
LIG3	229	143	242	93	347	409	182	126
RPAP3	347	294	237	123	513	449	345	298
ACSM3	4	6	12	10	9	10	12	6
AC004381.6	82	62	88	58	92	53	93	71
CIAPIN1	413	410	557	352	537	685	355	428
SPPL2B	680	586	760	418	748	1049	583	632
FAM214B	805	627	850	396	989	957	596	621
COPZ2	1132	928	1332	755	990	1088	1038	940
PRKAR2B	220	242	281	317	291	387	209	413
MSL3	481	523	495	316	496	687	404	379
CREBBP	2639	1917	3135	1491	3225	3957	2378	2557
BZRAP1	186	152	122	87	171	311	118	130
MPO	4	10	9	1	0	3	6	3
PON1	0	0	0	0	1	0	0	0
GCFC2	214	216	282	182	318	422	238	252
WDR54	229	206	270	152	234	432	166	247
CROT	498	379	305	171	626	508	515	472
ABCB4	64	18	60	17	21	18	52	22
KMT2E	1679	1466	1698	1096	2159	2558	1546	1782
SOX8	10	2	5	0	5	3	5	7
IBTK	1069	824	1512	790	1335	1703	1157	1165
ZNF195	200	172	295	136	320	279	197	150
MYCBP2	2688	2018	2621	1535	2946	3682	2216	2298
FBXL3	1361	1380	1381	1300	1126	1815	1162	1680
ITGAL	1	0	2	0	1	1	1	0
PDK2	610	546	740	407	817	774	650	704
ITGA3	708	655	1566	1114	1328	2635	1207	1457
ZFX	679	593	771	465	857	1115	929	1028
LAMP2	5102	4470	6219	3853	5653	6954	4722	5161
ITGA2B	5	11	12	3	7	5	14	10
ASB4	0	0	0	0	0	0	0	0
GDE1	1941	1825	2481	1676	2858	3584	1729	2105
C19orf60	517	463	410	191	260	366	410	375
CRLF1	132	95	98	82	79	168	243	263
OSBPL7	229	132	278	78	185	97	205	104
